topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,25398.798930356825,25.46533315833802,9.71,dragon dragons cities painted copper bells bay princess breasts bronze,dragons blood men red dragon city silver gold sea knight,0: dragon dragons cities painted copper bells bay princess breasts bronze
1,41920.39922417168,33.35956286187749,9.67,path folk mist road hill roots doom evil bank mountains,dark light road trees water suddenly end river land wind,1: path folk mist road hill roots doom evil bank mountains
2,21053.99275839959,23.419780543933,9.0,ship maids sheep island excellent board shirt sea waves stranger,house men ship son sea home father people gods got,2: ship maids sheep island excellent board shirt sea waves stranger
3,83015.13805544937,84.78297979664485,9.91,loyal realm lords nephew rights maesters steward banner throne honor,king father men brother lady son boy red gods lords,3: loyal realm lords nephew rights maesters steward banner throne honor
4,65898.5740974254,97.7176628731327,10.0,darling happiness nature church feelings week sir really affection complete,sir room yes quite house cried course children bed mother,4: darling happiness nature church feelings week sir really affection complete
5,22630.950256146203,31.959217116435298,9.86,devil mistress cousin remarked interrupted minute settle uttered continued exclaimed,master till answered door hes oh replied house father cried,5: devil mistress cousin remarked interrupted minute settle uttered continued exclaimed
6,74808.4817657392,82.47293028429908,9.9,crow shaggy crows torch horn frozen ice wolves axe fist,men wall horse sword cold water blood feet hed boy,6: crow shaggy crows torch horn frozen ice wolves axe fist
7,40150.90305958093,29.71687209196596,9.41,train race foe vain fate chief powers glory generous heroes,arms war god gods son fight plain chief heaven vain,7: train race foe vain fate chief powers glory generous heroes
8,44638.31517455471,73.84977305215875,9.75,gentleman rejoined em coat laying stopping pocket street anybody interposed,replied boy dear gentleman door got room looking round having,8: gentleman rejoined em coat laying stopping pocket street anybody interposed
9,41714.4466779764,50.25588822121494,9.63,gown bedchamber spun lions serving sour feast sept dancing shed,lady father sister wine door girl gold boy hair queen,9: gown bedchamber spun lions serving sour feast sept dancing shed
